Порог,Черные пиксели (сегментированное изображение),Черные пиксели (эталон),Разница (черные пиксели),Процент черных пикселей (сегментированное изображение),Процент черных пикселей (эталон),Совпадающие черные пиксели,Процент совпадений черных пикселей с эталоном,IoU
100,11118,14730,-3612,38.47,50.97,10768,73.10,0.71
105,11850,14730,-2880,41.00,50.97,11273,76.53,0.74
110,12648,14730,-2082,43.76,50.97,11749,79.76,0.75
115,13465,14730,-1265,46.59,50.97,12175,82.65,0.76
120,14285,14730,-445,49.43,50.97,12557,85.25,0.76
125,15120,14730,390,52.32,50.97,12912,87.66,0.76
130,16032,14730,1302,55.47,50.97,13250,89.95,0.76
135,16928,14730,2198,58.57,50.97,13528,91.84,0.75
140,17946,14730,3216,62.10,50.97,13788,93.60,0.73
145,19070,14730,4340,65.99,50.97,14026,95.22,0.71
150,20273,14730,5543,70.15,50.97,14211,96.48,0.68
155,21617,14730,6887,74.80,50.97,14370,97.56,0.65
